????????????,??????,????????????,?????????,?????????
202307,6/27/2023 11:21,TX,16745,2
202307,6/27/2023 11:21,TX,16745,2
202307,6/27/2023 11:21,TX,16745,2
202307,6/27/2023 11:21,TX,16745,2
202307,6/27/2023 11:21,TX,16745,2
202307,6/27/2023 11:21,TX,16745,2
202307,6/27/2023 11:21,TX,16745,2
202307,6/27/2023 11:21,TX,16745,6
202307,6/27/2023 11:21,TX,16745,2
202307,6/27/2023 11:21,TX,16745,2
202307,6/27/2023 11:21,TX,16744,2
202307,6/27/2023 11:21,TX,16743,4
202307,6/27/2023 11:21,TX,16743,4
202307,6/27/2023 11:21,TX,16743,2
202308,6/27/2023 11:21,TX,16712,2
202307,6/27/2023 11:21,TX,16743,2
202307,6/27/2023 11:21,TX,16743,2
202307,6/27/2023 11:21,TX,16745,2
202307,6/27/2023 11:21,TX,16745,2
202307,6/27/2023 11:21,TX,16745,4
202307,6/27/2023 11:21,TX,16745,2
202307,6/27/2023 11:21,TX,16745,2
202307,6/27/2023 11:21,TX,16745,10
202307,6/27/2023 11:21,TX,16745,2
202307,6/27/2023 11:21,TX,16745,2
202307,6/27/2023 11:21,TX,16745,2
202307,6/27/2023 11:21,TX,16745,2
202307,6/27/2023 11:21,TX,16746,2
202307,6/27/2023 11:21,TX,16746,2
202308,6/27/2023 11:21,TX,16714,2
202307,6/27/2023 11:21,TX,16746,2
202307,6/27/2023 11:21,TX,16745,2
202307,6/27/2023 11:21,TX,16745,4
202307,6/27/2023 11:21,TX,16746,10
202307,6/27/2023 11:21,TX,16746,6
202307,6/27/2023 11:21,TX,16745,2
202307,6/27/2023 11:21,TX,16745,2
202307,6/27/2023 11:21,TX,16746,2
202307,6/27/2023 11:22,TX,16746,4
202307,6/27/2023 11:22,TX,16746,2
202307,6/27/2023 11:22,TX,16746,4
202307,6/27/2023 11:22,TX,16747,2
202307,6/27/2023 11:22,TX,16747,2
202307,6/27/2023 11:22,TX,16746,2
202307,6/27/2023 11:22,TX,16746,2
202307,6/27/2023 11:22,TX,16746,2
202307,6/27/2023 11:22,TX,16747,2
202307,6/27/2023 11:22,TX,16747,2
202307,6/27/2023 11:22,TX,16747,2
202307,6/27/2023 11:22,TX,16747,2
202307,6/27/2023 11:22,TX,16747,2
202307,6/27/2023 11:22,TX,16749,10
202307,6/27/2023 11:22,TX,16749,2
202307,6/27/2023 11:22,TX,16749,2
202307,6/27/2023 11:22,TX,16749,2
202307,6/27/2023 11:22,TX,16749,6
202307,6/27/2023 11:22,TX,16749,2
202307,6/27/2023 11:22,TX,16749,2
202307,6/27/2023 11:22,TX,16750,2
202307,6/27/2023 11:22,TX,16750,4
202307,6/27/2023 11:22,TX,16750,6
202307,6/27/2023 11:22,TX,16750,6
202307,6/27/2023 11:22,TX,16750,2
202307,6/27/2023 11:22,TX,16750,6
202307,6/27/2023 11:22,TX,16750,70
202307,6/27/2023 11:22,TX,16750,2
202307,6/27/2023 11:22,TX,16750,2
202307,6/27/2023 11:22,TX,16750,2
202307,6/27/2023 11:22,TX,16751,10
202307,6/27/2023 11:22,TX,16751,10
202307,6/27/2023 11:22,TX,16751,10
202307,6/27/2023 11:22,TX,16751,4
202307,6/27/2023 11:22,TX,16751,8
202307,6/27/2023 11:22,TX,16751,2
202307,6/27/2023 11:22,TX,16752,10
202307,6/27/2023 11:22,TX,16752,12
202307,6/27/2023 11:22,TX,16752,4
202307,6/27/2023 11:22,TX,16752,6
202307,6/27/2023 11:22,TX,16751,2
202307,6/27/2023 11:22,TX,16751,4
202307,6/27/2023 11:22,TX,16752,10
202307,6/27/2023 11:22,TX,16751,2
202307,6/27/2023 11:22,TX,16749,2
202307,6/27/2023 11:22,TX,16749,2
202307,6/27/2023 11:22,TX,16749,2
202307,6/27/2023 11:22,TX,16749,2
202307,6/27/2023 11:22,TX,16750,10
202307,6/27/2023 11:22,TX,16750,2
202307,6/27/2023 11:22,TX,16750,2
202307,6/27/2023 11:22,TX,16751,2
202307,6/27/2023 11:22,TX,16751,2
202307,6/27/2023 11:22,TX,16750,2
202307,6/27/2023 11:22,TX,16750,2
202307,6/27/2023 11:22,TX,16750,4
202307,6/27/2023 11:22,TX,16750,2
202307,6/27/2023 11:22,TX,16750,2
202307,6/27/2023 11:22,TX,16750,2
202307,6/27/2023 11:22,TX,16750,2
202307,6/27/2023 11:22,TX,16750,6
202307,6/27/2023 11:22,TX,16750,6
202307,6/27/2023 11:22,TX,16750,2
202307,6/27/2023 11:22,TX,16750,2
202307,6/27/2023 11:22,TX,16750,2
202307,6/27/2023 11:22,TX,16750,2
202307,6/27/2023 11:22,TX,16750,2
202307,6/27/2023 11:22,TX,16750,2
202307,6/27/2023 11:22,TX,16750,2
202307,6/27/2023 11:22,TX,16751,2
202307,6/27/2023 11:22,TX,16752,10
202308,6/27/2023 11:22,TX,16718,2
202309,6/27/2023 11:22,TX,16697,2
202307,6/27/2023 11:22,TX,16751,2
202307,6/27/2023 11:22,TX,16751,2
202307,6/27/2023 11:22,TX,16751,2
202307,6/27/2023 11:22,TX,16751,2
202307,6/27/2023 11:22,TX,16751,2
202307,6/27/2023 11:22,TX,16751,2
202307,6/27/2023 11:22,TX,16751,2
202307,6/27/2023 11:22,TX,16752,10
202307,6/27/2023 11:22,TX,16751,2
202307,6/27/2023 11:22,TX,16751,2
202307,6/27/2023 11:22,TX,16751,2
202307,6/27/2023 11:22,TX,16752,2
202307,6/27/2023 11:22,TX,16752,2
202307,6/27/2023 11:22,TX,16752,6
202307,6/27/2023 11:22,TX,16753,4
202307,6/27/2023 11:22,TX,16753,2
202307,6/27/2023 11:22,TX,16753,4
202307,6/27/2023 11:22,TX,16753,2
202307,6/27/2023 11:22,TX,16753,2
202307,6/27/2023 11:22,TX,16753,2
202307,6/27/2023 11:22,TX,16753,2
202307,6/27/2023 11:22,TX,16753,2
202307,6/27/2023 11:22,TX,16753,2
202307,6/27/2023 11:22,TX,16753,2
202307,6/27/2023 11:22,TX,16753,2
202307,6/27/2023 11:22,TX,16753,2
202307,6/27/2023 11:22,TX,16753,2
202307,6/27/2023 11:22,TX,16753,4
202307,6/27/2023 11:22,TX,16753,8
202307,6/27/2023 11:22,TX,16753,2
202307,6/27/2023 11:22,TX,16753,8
202307,6/27/2023 11:22,TX,16753,4
202307,6/27/2023 11:22,TX,16753,2
202307,6/27/2023 11:22,TX,16753,2
202307,6/27/2023 11:22,TX,16753,2
202307,6/27/2023 11:22,TX,16753,2
202307,6/27/2023 11:22,TX,16753,2
202307,6/27/2023 11:22,TX,16753,2
202307,6/27/2023 11:22,TX,16754,2
